id,brand,model,variant,type,fuel_class,units,rank,share_pct,registered_basis,popularity_rating,paultan_keys,registered_note
bmw-ix1-l,BMW,iX1 L,,ev,ev,1300,22,0.99,paultan_family_shared,4,['EV|BMW|iX1'],BMW iX1 (same family as BMW iX1)
mini-countryman,MINI,Countryman,,ev,ev,570,39,0.43,paultan_exact,3,['EV|Mini|Countryman'],
maxus-mifa-9,Maxus,MIFA 9,,ev,ev,77,70,0.06,paultan_exact,1,['EV|Weststar Maxus|MIFA 9'],
xpeng-x9,XPeng,X9,,ev,ev,958,29,0.73,paultan_exact,3,['EV|Xpeng|X9'],
bmw-ix2,BMW,iX2,,ev,ev,932,32,0.71,paultan_exact,3,['EV|BMW|iX2'],
bmw-i4,BMW,i4,,ev,ev,941,30,0.72,paultan_exact,3,['EV|BMW|i4'],
mercedes-benz-eqa,Mercedes-Benz,EQA,,ev,ev,497,43,0.38,paultan_exact,2,['EV|Mercedes Benz|EQA'],
denza-d9,Denza,D9,,ev,ev,1473,19,1.12,paultan_exact,4,['EV|Denza|D9'],
zeekr-009,Zeekr,009,,ev,ev,1354,21,1.03,paultan_exact,4,['EV|Zeekr|009'],
mg-cyberster,MG,Cyberster,,ev,ev,142,63,0.11,paultan_exact,2,['EV|MG|Cyberster'],
volvo-es90,Volvo,ES90,,ev,ev,95,68,0.07,paultan_exact,1,['EV|Volvo|ES90'],
kia-ev9,Kia,EV9,,ev,ev,61,75,0.05,paultan_exact,1,['EV|Kia|EV9'],
denza-z9-gt,Denza,Z9 GT,,ev,ev,72,72,0.05,paultan_exact,1,['EV|Denza|Z9GT'],
bmw-i5,BMW,i5,,ev,ev,984,27,0.75,paultan_exact,3,['EV|BMW|i5'],
bmw-ix3,BMW,iX3,,ev,ev,545,42,0.42,paultan_exact,3,['EV|BMW|iX3'],
mercedes-benz-eqe,Mercedes-Benz,EQE,,ev,ev,717,34,0.55,paultan_exact,3,['EV|Mercedes Benz|EQE'],
mercedes-benz-eqe-suv,Mercedes-Benz,EQE SUV,,ev,ev,717,34,0.55,paultan_family_shared,3,['EV|Mercedes Benz|EQE'],Mercedes Benz EQE (same family as EQE/AMG EQE)
bmw-ix,BMW,iX,,ev,ev,2897,9,2.21,paultan_exact,5,['EV|BMW|iX'],
lexus-rz,Lexus,RZ,,ev,ev,197,59,0.15,paultan_exact,2,['EV|Lexus|RZ'],
bmw-i4-m50,BMW,i4 M50,,ev,ev,941,30,0.72,paultan_family_shared,3,['EV|BMW|i4'],BMW i4 (same family as BMW i4)
volvo-ex90,Volvo,EX90,,ev,ev,139,64,0.11,paultan_exact,2,['EV|Volvo|EX90'],
hyundai-ioniq-5-n,Hyundai,Ioniq 5 N,,ev,ev,348,48,0.27,paultan_family_shared,2,['EV|Hyundai|Ioniq 5'],Hyundai Ioniq 5 (same family as Ioniq 5)
hyundai-ioniq-6-n,Hyundai,Ioniq 6 N,,ev,ev,222,57,0.17,paultan_family_shared,2,['EV|Hyundai|Ioniq 6'],Hyundai Ioniq 6 (same family as Ioniq 6)
mercedes-benz-eqv,Mercedes-Benz,EQV,,ev,ev,14,94,0.01,paultan_exact,1,['EV|Mercedes Benz|EQV'],
lotus-emeya,Lotus,Emeya,,ev,ev,54,77,0.04,paultan_exact,1,['EV|Lotus|Emeya'],
audi-q8-e-tron,Audi,Q8 e-tron,,ev,ev,285,51,0.22,paultan_exact,2,['EV|Audi|Q8'],
audi-q8-e-tron-sportback,Audi,Q8 e-tron Sportback,,ev,ev,285,51,0.22,paultan_family_shared,2,['EV|Audi|Q8'],Audi Q8 (same family as Q8 e-tron)
lotus-eletre,Lotus,Eletre,,ev,ev,292,50,0.22,paultan_exact,2,['EV|Lotus|Eletre'],
porsche-macan-electric,Porsche,Macan Electric,,ev,ev,468,44,0.36,paultan_exact,2,['EV|Porsche|Macan'],
mercedes-benz-eqs-suv,Mercedes-Benz,EQS SUV,,ev,ev,654,36,0.5,paultan_family_shared,3,['EV|Mercedes Benz|EQS'],Mercedes Benz EQS (same family as EQS/AMG EQS)
mercedes-benz-eqs,Mercedes-Benz,EQS,,ev,ev,654,36,0.5,paultan_exact,3,['EV|Mercedes Benz|EQS'],
mercedes-benz-amg-eqe,Mercedes-Benz,AMG EQE,,ev,ev,717,34,0.55,paultan_family_shared,3,['EV|Mercedes Benz|EQE'],Mercedes Benz EQE (same family as EQE/EQE SUV)
bmw-i7,BMW,i7,,ev,ev,964,28,0.74,paultan_exact,3,['EV|BMW|i7'],
mercedes-benz-amg-eqs,Mercedes-Benz,AMG EQS,,ev,ev,654,36,0.5,paultan_family_shared,3,['EV|Mercedes Benz|EQS'],Mercedes Benz EQS (same family as EQS/EQS SUV)
mercedes-benz-g-class,Mercedes-Benz,G-Class,,ev,ev,19,90,0.01,paultan_exact,1,['EV|Mercedes Benz|G-Class'],
