id,name,address,lat,lng,operator,charger_type,power_kw,power,price,status,is_operational
475567,Gentari | Careplus Mall Seremban (180kW DC),"Lot PT 3962 & 3963, Jalan Haruan 2, Seremban, 70300, Negeri Sembilan",2.7069530691615853,101.92009987021288,Gentari Go (MY),CCS (Type 2),180,180 kW,DC @ RM1.60/kWh + RM1.50/min (after 1 hour),In Use,True
475566,chargEV | Quayside Mall Level 2 (22kW AC),"Level 2 (Lots 26-28), Upper Level Carpark (Indoor), Telok Panglima Garang, 42500, Selangor",2.9565853306487213,101.55343998878675,chargEV,Type 2 (Tethered Connector) ,22,22 kW,AC @ RM1.00/kWh,In Use,True
475565,"chargEV | Quayside Mall Gamuda Kemuning (240kW DC, 22kW AC)","B1 Floor, Pillar M04 (DC Bays), Pillar K12 (AC Bays), Telok Panglima Garang, 42500, Selangor",2.9570267808223747,101.55291071768852,chargEV,CCS (Type 2),240,240 kW,DC @ RM1.60/kWh | AC @ RM1.00/kWh,In Use,True
475564,chargEV | The Glades Plaza (60kW DC),"3, Persiaran Putra Perdana, Subang Jaya, 47650, Selangor",3.0085371283898468,101.57749588324384,chargEV,CCS (Type 2),60,60 kW,RM1.40/kWh,In Use,True
474654,Wisma TNB Alor Setar,"887, Jalan Sehala, Alor Setar, 05200, Kedah",6.122000233062764,100.37247232105642,TNB Electron (MY),CCS (Type 2),240,240 kW,RM 1.50/kWh,In Use,True
474469,Tenaga Nasional Berhad (Temerloh),"Bangunan Tenaga Nasional Berhad, Jalan Kuantan, Temerloh, 28000, Pahang",3.449099353987009,102.41258567929151,TNB Electron (MY),CCS (Type 2),240,240 kW,RM 1.50/kWh,In Use,True
474393,Gentari | Petronas Ayer Keroh 3 (110kW DC),"2854, Jalan Tun Abdul Razak, Bemban, 75450, Melaka",2.2895482527241455,102.30501168715159,Gentari Go (MY),CCS (Type 2),110,110 kW,DC @ RM 1.70/kWh + RM 1.50/min (After 1 hour),In Use,True
474296,Proton 4S Mercu Usaha Mesra,"1, Jalan Batu Lintang, Sungai Petani, 08600, Kedah",5.6180614571475616,100.46530701919733,Gentari Go (MY),CCS (Type 2),40,40 kW,RM 1.60/kWh + RM 1.50/min (After 1 hour),In Use,True
474295,Starbucks Amanjaya DT,"No. 3, Jalan Cempaka 2/3, Sungai Petani, 08000, Kedah",5.669688689964772,100.50813826081435,chargEV,CCS (Type 2),60,60 kW,N/A,Offline,True
474294,BMW Service Centre Start Lee Motors,"86C, Jalan Perak 18, Alor Setar, 05150, Kedah",6.138649554252993,100.35793295651933,chargEV,CCS (Type 2),30,30 kW,RM 0.60/min,In Use,True
